Fecha_Cierre,Modulo,Tipo_Ope,Cod_Ofi,Desc_Ofi,Cta_Cliente,Operacion,Sub_Operacion,Sub_Tipo,Plazo,Monto_Desembolso_MN,Fec_Desembolso,Tasa,Total_Cuotas
31/05/2018,101,3,213,EOBP CHOCOPE,100124,7768417,0,3,214,30000,21/05/2018,0.23,4
31/05/2018,101,3,15,AG CHIMBOTE,100126,7751478,0,1,248,21000,11/05/2018,0.22,4
31/05/2018,101,3,2,AG CHEPEN,100165,7747650,0,1,255,15000,9/05/2018,0.3058,4
31/05/2018,103,36,5,AG ZONA FRANCA,100025,7751227,0,11,732,6000,10/05/2018,0.3969,24
31/05/2018,101,3,2,AG CHEPEN,100055,7739206,0,1,227,25000,4/05/2018,0.24,4
31/05/2018,101,3,2,AG CHEPEN,100188,7783240,0,1,256,5000,29/05/2018,0.38,4
31/05/2018,103,11,5,AG ZONA FRANCA,100370,7738941,0,1,92,2400,3/05/2018,0.2,3
31/05/2018,103,36,3,AG HUAMACHUCO,100407,7741552,0,11,365,1512,7/05/2018,0.4693,12
31/05/2018,103,11,8,AG LA ESPERANZA,100472,7775924,0,1,374,6000,25/05/2018,0.2,12
31/05/2018,103,11,5,AG ZONA FRANCA,100494,7778604,0,1,383,2500,25/05/2018,0.3,12
31/05/2018,104,2,7,AG EL PORVENIR,100389,7759149,0,1,183,1000,16/05/2018,0.4558,6
31/05/2018,101,3,2,AG CHEPEN,100522,7744172,0,1,244,70000,9/05/2018,0.24,4
31/05/2018,104,2,3,AG HUAMACHUCO,100543,7781871,0,6,369,10000,28/05/2018,0.2716,12
31/05/2018,102,32,131,AG PISAC,136635,7764074,0,30,184,1000,17/05/2018,0.8165,6
31/05/2018,104,1,8,AG LA ESPERANZA,100596,7760844,0,1,90,1500,16/05/2018,0.4558,1
31/05/2018,101,1,213,EOBP CHOCOPE,101337,7762777,0,3,90,5000,17/05/2018,0.45,1
31/05/2018,103,11,5,AG ZONA FRANCA,100756,7772200,0,1,378,3000,23/05/2018,0.21,12
31/05/2018,103,11,5,AG ZONA FRANCA,100840,7734781,0,1,552,5100,2/05/2018,0.265,18
31/05/2018,102,32,68,AG ANDAHUAYLAS,141558,7743971,0,30,276,1000,7/05/2018,0.65,9
31/05/2018,102,32,78,EOB PEDRO RUIZ,143703,7760304,0,1,301,500,16/05/2018,0.6478,10
31/05/2018,102,11,103,AG MOLLENDO,144009,7741104,0,34,366,1000,5/05/2018,0.8165,12
31/05/2018,103,10,5,AG ZONA FRANCA,100897,7755628,0,1,60,4000,14/05/2018,0.18,1
31/05/2018,102,11,81,AG SANTIAGO DE CHUCO,145965,7785114,0,8,368,2000,29/05/2018,0.7212,12
31/05/2018,103,10,5,AG ZONA FRANCA,100897,7768415,0,1,45,2500,21/05/2018,0.18,1
31/05/2018,103,10,5,AG ZONA FRANCA,100897,7773809,0,1,61,3500,23/05/2018,0.18,1
31/05/2018,101,1,213,EOBP CHOCOPE,101514,7738387,0,3,185,2546,4/05/2018,0.5,1
31/05/2018,102,32,323,AG CARABAYLLO,152582,7735913,0,1,184,1000,2/05/2018,0.7452,6
31/05/2018,103,36,5,AG ZONA FRANCA,101073,7757239,0,11,365,1000,14/05/2018,0.4693,12
31/05/2018,101,3,14,AG VIRU,101797,7781681,0,1,230,7110,29/05/2018,0.4201,4
31/05/2018,102,32,68,AG ANDAHUAYLAS,154094,7778443,0,30,190,1000,25/05/2018,0.65,6
31/05/2018,103,11,7,AG EL PORVENIR,101205,7763016,0,1,382,3000,17/05/2018,0.18,12
31/05/2018,104,2,5,AG ZONA FRANCA,100959,7769830,0,6,731,5000,23/05/2018,0.35,24
31/05/2018,103,11,5,AG ZONA FRANCA,101274,7770278,0,1,1107,15000,22/05/2018,0.18,36
31/05/2018,104,2,82,AG TAYABAMBA,100999,7765183,0,9990,365,40823.26,18/05/2018,0.2,12
31/05/2018,103,11,5,AG ZONA FRANCA,101274,7770785,0,1,1107,15000,22/05/2018,0.18,36
31/05/2018,103,11,8,AG LA ESPERANZA,101396,7789194,0,1,207,300,31/05/2018,0.2,6
31/05/2018,104,2,7,AG EL PORVENIR,101249,7741677,0,1,365,3000,7/05/2018,0.3956,12
31/05/2018,104,2,14,AG VIRU,101326,7745174,0,7,215,2000,9/05/2018,0.457,5
31/05/2018,104,2,8,AG LA ESPERANZA,101464,7745161,0,6,1096,20000,8/05/2018,0.2588,36
31/05/2018,104,2,7,AG EL PORVENIR,101576,7765268,0,1,185,7950,18/05/2018,0.3516,6
31/05/2018,103,2,14,AG VIRU,101948,7755813,0,1,364,2000,24/05/2018,0.7012,12
31/05/2018,101,1,133,AG ANTA,104021,7784506,0,1,165,3000,29/05/2018,0.4651,1
31/05/2018,104,1,5,AG ZONA FRANCA,101698,7771993,0,6,90,30000,22/05/2018,0.2,1
31/05/2018,103,36,14,AG VIRU,102066,7752232,0,11,365,2020,11/05/2018,0.45,12
31/05/2018,101,1,59,AG CHOTA,104416,7759571,0,1,120,1000,15/05/2018,0.44,1
31/05/2018,103,11,8,AG LA ESPERANZA,102343,7745484,0,1,365,1190,8/05/2018,0.18,12
31/05/2018,103,10,5,AG ZONA FRANCA,102496,7774177,0,1,30,3000,23/05/2018,0.18,1
31/05/2018,103,11,14,AG VIRU,102630,7746313,0,1,304,2000,8/05/2018,0.18,10
31/05/2018,103,11,14,AG VIRU,102991,7784050,0,1,195,1800,29/05/2018,0.5,6
31/05/2018,103,2,65,AG HUARAZ,103252,7745661,0,1,375,1000,8/05/2018,0.7319,12
31/05/2018,101,3,2,AG CHEPEN,105773,7754816,0,1,876,30000,17/05/2018,0.2749,10
31/05/2018,101,2,2,AG CHEPEN,106396,7742186,0,1,366,2016,5/05/2018,0.5,12
31/05/2018,103,10,5,AG ZONA FRANCA,104881,7789501,0,1,186,2000,31/05/2018,0.18,1
31/05/2018,101,3,2,AG CHEPEN,106720,7773982,0,1,211,55000,24/05/2018,0.24,4
31/05/2018,101,2,2,AG CHEPEN,106761,7750248,0,1,518,3500,10/05/2018,0.45,15
31/05/2018,101,3,2,AG CHEPEN,106847,7741655,0,1,254,3000,5/05/2018,0.5,4
31/05/2018,104,2,7,AG EL PORVENIR,103025,7759575,0,1,731,13000,16/05/2018,0.3038,24
31/05/2018,104,2,5,AG ZONA FRANCA,103276,7788331,0,6,550,6000,31/05/2018,0.3915,18
31/05/2018,101,3,2,AG CHEPEN,106906,7752604,0,1,253,15000,11/05/2018,0.3158,4
31/05/2018,101,3,2,AG CHEPEN,106914,7764048,0,1,245,140000,19/05/2018,0.22,4
31/05/2018,103,36,2,AG CHEPEN,107740,7746796,0,12,1462,20000,8/05/2018,0.2606,48
31/05/2018,101,3,2,AG CHEPEN,106925,7776044,0,1,261,10000,24/05/2018,0.3258,4
31/05/2018,101,2,212,EOBP MORROPE,107052,7782098,0,99,368,4000,29/05/2018,0.42,12
31/05/2018,104,2,8,AG LA ESPERANZA,103617,7765523,0,6,365,2000,18/05/2018,0.38,12
31/05/2018,104,2,5,AG ZONA FRANCA,103838,7784385,0,1,1464,50000,30/05/2018,0.268,48
31/05/2018,101,3,2,AG CHEPEN,107300,7781953,0,1,257,32000,28/05/2018,0.24,4
31/05/2018,101,3,2,AG CHEPEN,107303,7761287,0,1,244,5000,16/05/2018,0.45,4
31/05/2018,101,3,2,AG CHEPEN,107548,7771109,0,1,207,5000,22/05/2018,0.4201,4
31/05/2018,104,2,8,AG LA ESPERANZA,104079,7759635,0,6,183,1000,16/05/2018,0.4035,6
31/05/2018,103,11,5,AG ZONA FRANCA,109965,7759337,0,1,304,2000,15/05/2018,0.415,10
31/05/2018,104,2,81,AG SANTIAGO DE CHUCO,104392,7776930,0,5000,372,5300,25/05/2018,0.3721,12
31/05/2018,101,2,211,EOB TUCUME,107943,7771507,0,3,365,2500,22/05/2018,0.6,12
31/05/2018,101,1,3,AG HUAMACHUCO,108048,7776368,0,1,90,15000,25/05/2018,0.4025,1
31/05/2018,103,11,14,AG VIRU,110032,7739085,0,1,305,1000,3/05/2018,0.5,10
31/05/2018,104,1,213,EOBP CHOCOPE,104756,7760084,0,1,90,5000,16/05/2018,0.3516,1
31/05/2018,101,2,3,AG HUAMACHUCO,108616,7757918,0,1,366,5000,15/05/2018,0.38,12
31/05/2018,103,11,5,AG ZONA FRANCA,110470,7750628,0,1,762,20000,10/05/2018,0.19,24
31/05/2018,103,11,14,AG VIRU,110504,7751199,0,1,67,500,10/05/2018,0.25,2
31/05/2018,101,2,3,AG HUAMACHUCO,108648,7765052,0,3,366,4000,19/05/2018,0.39,12
31/05/2018,103,11,5,AG ZONA FRANCA,110784,7773402,0,1,184,3000,23/05/2018,0.25,6
31/05/2018,104,1,2,AG CHEPEN,105347,7784797,0,1,85,4000,30/05/2018,0.4364,1
31/05/2018,104,2,2,AG CHEPEN,105383,7744418,0,1,609,30000,9/05/2018,0.26,18
31/05/2018,101,2,3,AG HUAMACHUCO,109576,7771643,0,1,373,1515,26/05/2018,0.6,12
31/05/2018,103,36,7,AG EL PORVENIR,111642,7737365,0,11,365,13000,3/05/2018,0.2939,12
31/05/2018,104,7,2,AG CHEPEN,105428,7767488,0,1,366,3500,19/05/2018,0.4,12
31/05/2018,103,11,5,AG ZONA FRANCA,112792,7773560,0,1,92,500,23/05/2018,0.4,3
31/05/2018,103,36,213,EOBP CHOCOPE,113028,7735651,0,12,561,5000,3/05/2018,0.4169,18
31/05/2018,104,2,2,AG CHEPEN,105510,7766331,0,1,332,5000,18/05/2018,0.4,9
31/05/2018,104,3,2,AG CHEPEN,105510,7771668,0,1,86,5000,22/05/2018,0.4,2
31/05/2018,103,36,73,AG HUARMACA,114214,7750816,0,12,365,6000,10/05/2018,0.41,12
31/05/2018,104,1,2,AG CHEPEN,105544,7789478,0,5000,84,10000,31/05/2018,0.2958,1
31/05/2018,101,1,213,EOBP CHOCOPE,112121,7775862,0,3,200,7130,24/05/2018,0.4276,1
31/05/2018,103,11,5,AG ZONA FRANCA,115009,7781155,0,1,551,25000,30/05/2018,0.2,18
31/05/2018,103,10,3,AG HUAMACHUCO,115018,7741113,0,1,182,500,4/05/2018,0.345,1
31/05/2018,101,1,213,EOBP CHOCOPE,112217,7737691,0,1,135,4000,3/05/2018,0.4552,1
